['Sporting News'],"[' ● By Vinnie Iyer', '18.27%']",['04/27/23'],Bryce Young,Will Anderson Jr.,Tyree Wilson,Anthony Richardson,Jalen Carter,Devon Witherspoon,Christian Gonzalez,Myles Murphy,Peter Skoronski,Bijan Robinson,Will Levis,C.J. Stroud,Jaxon Smith-Njigba,Paris Johnson Jr.,Broderick Jones,Deonte Banks,Joey Porter Jr.,Dalton Kincaid,Hendon Hooker,John Michael Schmitz,Zay Flowers,Quentin Johnston,Jordan Addison,Brian Branch,Drew Sanders,Antonio Johnson,Trenton Simpson,Michael Mayer,Lukas Van Ness,Nolan Smith,Darnell Wright,Calijah Kancey,Bryan Bresee,Jahmyr Gibbs,Emmanuel Forbes,Anton Harrison,,,,,,
['Bucs Nation'],"[' ● By Mike Kiwak', '10.58%']",['04/27/23'],Bryce Young,Will Anderson Jr.,C.J. Stroud,Anthony Richardson,Tyree Wilson,Devon Witherspoon,Nolan Smith,Christian Gonzalez,Jalen Carter,Paris Johnson Jr.,Will Levis,Broderick Jones,Peter Skoronski,Lukas Van Ness,Darnell Wright,Bijan Robinson,Hendon Hooker,Michael Mayer,Anton Harrison,Jaxon Smith-Njigba,Deonte Banks,Joey Porter Jr.,Zay Flowers,Brian Branch,Emmanuel Forbes,Calijah Kancey,O'Cyrus Torrence,Jahmyr Gibbs,Myles Murphy,Dalton Kincaid,Jordan Addison,Quentin Johnston,Bryan Bresee,,,,,,,,,
['Draft Countdown'],"[' ● By Brian Bosarge', '14.66%']",['04/27/23'],Bryce Young,Will Anderson Jr.,Paris Johnson Jr.,C.J. Stroud,Tyree Wilson,Devon Witherspoon,Darnell Wright,Bijan Robinson,Peter Skoronski,Lukas Van Ness,Will Levis,Jalen Carter,Jaxon Smith-Njigba,Christian Gonzalez,Dalton Kincaid,Brian Branch,Broderick Jones,Anthony Richardson,Calijah Kancey,Joey Porter Jr.,Jordan Addison,Nolan Smith,Zay Flowers,Michael Mayer,O'Cyrus Torrence,Will McDonald IV,Quentin Johnston,Emmanuel Forbes,Jahmyr Gibbs,Deonte Banks,Myles Murphy,Bryan Bresee,Anton Harrison,,,,,,,,,
['Behind The Steel Curtain'],"[' ● By Mike Frazer', '4.81%']",['04/27/23'],C.J. Stroud,Jalen Carter,Will Levis,Peter Skoronski,Christian Gonzalez,Tyree Wilson,Calijah Kancey,Devon Witherspoon,Paris Johnson Jr.,Will Anderson Jr.,Bryce Young,Darnell Wright,Jaxon Smith-Njigba,Nolan Smith,Broderick Jones,Dalton Kincaid,Deonte Banks,Drew Sanders,Myles Murphy,Zay Flowers,Joey Porter Jr.,Will McDonald IV,O'Cyrus Torrence,Brian Branch,Bijan Robinson,Jack Campbell,Michael Mayer,Emmanuel Forbes,Josh Downs,Quentin Johnston,Anthony Richardson,Lukas Van Ness,Jordan Addison,Bryan Bresee,Jahmyr Gibbs,,,,,,,
['Barstool Sports'],"[' ● By Matt Fitzgerald', '8.89%']",['04/27/23'],Bryce Young,Tyree Wilson,Will Anderson Jr.,Will Levis,Jalen Carter,Devon Witherspoon,Christian Gonzalez,C.J. Stroud,Peter Skoronski,Bijan Robinson,Joey Porter Jr.,Anthony Richardson,Jaxon Smith-Njigba,Broderick Jones,Paris Johnson Jr.,Deonte Banks,Darnell Wright,Nolan Smith,Brian Branch,Tyrique Stevenson,Jahmyr Gibbs,Emmanuel Forbes,Myles Murphy,Calijah Kancey,Quentin Johnston,Michael Mayer,Jalin Hyatt,Dalton Kincaid,Zay Flowers,Steve Avila,Lukas Van Ness,Jordan Addison,Bryan Bresee,Anton Harrison,,,,,,,,
['Sporting News'],"[' ● By Jacob Camenker', '14.90%']",['04/27/23'],Bryce Young,Will Anderson Jr.,Paris Johnson Jr.,C.J. Stroud,Jalen Carter,Devon Witherspoon,Christian Gonzalez,Bijan Robinson,Tyree Wilson,Nolan Smith,Anthony Richardson,Peter Skoronski,Jaxon Smith-Njigba,Darnell Wright,Broderick Jones,Emmanuel Forbes,Deonte Banks,Jahmyr Gibbs,Lukas Van Ness,Zay Flowers,Michael Mayer,Joey Porter Jr.,Will Levis,Brian Branch,Jordan Addison,Myles Murphy,Quentin Johnston,Dalton Kincaid,Calijah Kancey,Anton Harrison,O'Cyrus Torrence,Bryan Bresee,,,,,,,,,,
['CBS'],"[' ● By Pete Prisco', '12.26%']",['04/27/23'],Bryce Young,Will Levis,Paris Johnson Jr.,C.J. Stroud,Jalen Carter,Devon Witherspoon,Christian Gonzalez,Will Anderson Jr.,Peter Skoronski,Tyree Wilson,Broderick Jones,Jaxon Smith-Njigba,Nolan Smith,Lukas Van Ness,Michael Mayer,Emmanuel Forbes,Darnell Wright,Zay Flowers,Will McDonald IV,Myles Murphy,Bijan Robinson,Anthony Richardson,Hendon Hooker,Anton Harrison,Deonte Banks,Calijah Kancey,Jack Campbell,Joey Porter Jr.,Mazi Smith,Brian Branch,Jordan Addison,Quentin Johnston,Dalton Kincaid,Bryan Bresee,Jahmyr Gibbs,,,,,,,
['The Huddle Report'],"[' ● By Jeremy Bissett', '11.30%']",['04/27/23'],Bryce Young,Will Anderson Jr.,Will Levis,Anthony Richardson,Tyree Wilson,Bijan Robinson,Jalen Carter,Jaxon Smith-Njigba,Peter Skoronski,Devon Witherspoon,Paris Johnson Jr.,C.J. Stroud,Myles Murphy,Christian Gonzalez,Lukas Van Ness,Dalton Kincaid,Broderick Jones,Calijah Kancey,Darnell Wright,Nolan Smith,Jordan Addison,Zay Flowers,Joey Porter Jr.,Dawand Jones,Quentin Johnston,Michael Mayer,O'Cyrus Torrence,Deonte Banks,Will McDonald IV,Brian Branch,Bryan Bresee,Jahmyr Gibbs,Emmanuel Forbes,Anton Harrison,,,,,,,,
['The Draft Network'],"[' ● By Chris Schubert', '17.31%']",['04/27/23'],Bryce Young,Tyree Wilson,Will Anderson Jr.,Will Levis,Jalen Carter,Devon Witherspoon,Paris Johnson Jr.,Bijan Robinson,Darnell Wright,Nolan Smith,Peter Skoronski,Anthony Richardson,Jaxon Smith-Njigba,Christian Gonzalez,C.J. Stroud,Joey Porter Jr.,Deonte Banks,Myles Murphy,Broderick Jones,Zay Flowers,Michael Mayer,Jordan Addison,Quentin Johnston,Lukas Van Ness,Brian Branch,Mazi Smith,Calijah Kancey,Jahmyr Gibbs,Keion White,Emmanuel Forbes,John Michael Schmitz,Dalton Kincaid,Bryan Bresee,Anton Harrison,,,,,,,,
['Dynasty Nerds'],"[' ● By Jake Oliver', '10.10%']",['04/26/23'],Bryce Young,Will Anderson Jr.,Paris Johnson Jr.,Will Levis,Tyree Wilson,Devon Witherspoon,Jalen Carter,Anthony Richardson,Christian Gonzalez,Bijan Robinson,C.J. Stroud,Peter Skoronski,Jaxon Smith-Njigba,Broderick Jones,Darnell Wright,Joey Porter Jr.,Deonte Banks,Dalton Kincaid,Nolan Smith,Bryan Bresee,Zay Flowers,Emmanuel Forbes,Lukas Van Ness,Brian Branch,Jordan Addison,Michael Mayer,Quentin Johnston,Jahmyr Gibbs,Mazi Smith,Felix Anudike-Uzomah,Myles Murphy,Calijah Kancey,Anton Harrison,,,,,,,,,
['Football Guys'],"[' ● By Christian Williams', '8.65%']",['04/26/23'],Bryce Young,Tyree Wilson,Anthony Richardson,Will Levis,Will Anderson Jr.,Paris Johnson Jr.,Devon Witherspoon,Nolan Smith,Peter Skoronski,Lukas Van Ness,C.J. Stroud,Jalen Carter,Jaxon Smith-Njigba,Zay Flowers,Christian Gonzalez,Michael Mayer,Deonte Banks,Bijan Robinson,Joey Porter Jr.,Myles Murphy,Broderick Jones,,,,,,,,,,,,,,,,,,,,,
['Barstool Sports'],"[' ● By Steven Cheah', '8.89%']",['04/25/23'],Bryce Young,Tyree Wilson,Will Anderson Jr.,Will Levis,Jalen Carter,Devon Witherspoon,Christian Gonzalez,C.J. Stroud,Jaxon Smith-Njigba,Nolan Smith,Anthony Richardson,Zay Flowers,Dalton Kincaid,Peter Skoronski,Paris Johnson Jr.,Darnell Wright,Jordan Addison,Calijah Kancey,Lukas Van Ness,Broderick Jones,Bijan Robinson,Emmanuel Forbes,Joey Porter Jr.,Michael Mayer,Quentin Johnston,D.J. Turner,Myles Murphy,Brian Branch,Will McDonald IV,Mazi Smith,Jalin Hyatt,Deonte Banks,Bryan Bresee,Jahmyr Gibbs,Anton Harrison,,,,,,,
['The Huddle'],"[' ● By HC Green', '10.10%']",['04/24/23'],Bryce Young,Will Levis,Will Anderson Jr.,C.J. Stroud,Tyree Wilson,Devon Witherspoon,Christian Gonzalez,Nolan Smith,Jalen Carter,Joey Porter Jr.,Anthony Richardson,Lukas Van Ness,Paris Johnson Jr.,Peter Skoronski,Jaxon Smith-Njigba,Broderick Jones,Darnell Wright,Calijah Kancey,Michael Mayer,Myles Murphy,Bijan Robinson,Jordan Addison,Zay Flowers,Deonte Banks,Quentin Johnston,Dalton Kincaid,Jalin Hyatt,Brian Branch,Adetomiwa Adebawore,Hendon Hooker,Keion White,Bryan Bresee,Jahmyr Gibbs,Emmanuel Forbes,Anton Harrison,,,,,,,
